Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,administrative data property,administrative property,alternative term,annotation,antisymmetric property,code for,component,composite,concept descriptor property,contains,curator note,defines group,definition,definition editor,definition source,deprecated:definition,derives,editor note,editor preferred term,entity assigned,entity conclusions are about,entity directly observed,entity recruited or selected,entity subject to intervention or exposure,example of usage,executed at,executes,expand assertion to,expand expression to,finest-grained entity available for analysis,first order logic expression,function as,has actor,has actual sample size,has address,has address string,has administrative relation,has age restriction,has allocation concealment method,has allocation concealment method value,has allocation type,has analysis method,has analysis type,has anchor time,has argument,has assessment method,has biospecimen availability,has biospecimen collected,has biospecimen preservation method,has biospecimen tissue source,has biospecimen type,has blinding type,has case definition,has code,has code system name,has code system version,has comparative intent,has completed population number,has concept id,has considered population number,has constraint,has contact for public queries,has context modifier,has context modifier,has control group type,has country,has curation status,has data generated from,has date of first enrollment,has date of last enrollment,has dependent variable,has description,has description date,has design characteristic,has display name,has distribution,has dose,has dose description,has duration,has effective time,has element,has eligibility criterion,has extension,has finding,has first name,has frequency code,has funding number,has funding relation,has gender restriction,has group,has health condition studied,has identifier,has identifier name,has independent variable,has individuals assigned to,has intervention,has intervention assignment scheme,has IRB process,has laboratory agreement,has last name,has lower bound,has lower bound,has matching,has measurement dimension,has member,has name,has non-temporal constraint,has noun phrase,has number lost,has number lost because of death,has number lost because of refusal,has number lost because of rejection,has obsolescence reason,has offset,has operator,has original text,has outcome analysis,has outcome code,has outcome variable,has outcomes occurred before or after study start,has oversight agreement,has part,has participant,has permissible method,has permitted value range,has permitted values,has phase,has planned composition relationship,has planned sample size,has pooled data,has population,has power calculation,has predictor variable,has principal investigator,has priority,has public description,has public title,has recruitment,has recruitment agreement,has recruitment in the future,has recruitment in the past,has recruitment in the present,has recruitment status,has relation between cases and non-cases,has repeat quantity,has root,has route of administration,has sampling method,has scheme,has scientific description,has scientific title,has semantic constraint,has sequence number,has sponsoring relation,has start time,has stop time,has study assessment/intervention agreement,has study characteristic,has study design,has study design characteristic,has study event,has study hypothesis,has study objective,has study performance agreement,has study phenomenon,has study population,has study population number,has study protocol,has study status,has study subject,has subject,has substance administered,has target number,has target subject,has temporal constraint,has time point extractor,has unit,has unit of allocation,has upper bound,has upper bound,has value,has value,has variable,has variable characteristic,has zip,http://data.bioontology.org/metadata/prefixIRI,http://protege.stanford.edu/plugins/owl/protege#defaultLanguage,http://purl.org/net/OCRe/OCRe.owl#has_code,http://purl.org/net/OCRe/statistics.owl#curator,http://purl.org/net/OCRe/statistics.owl#synonym,http://purl.org/net/OCRe/study_protocol.owl#develop_comment,http://www.semanticweb.org/owlapi#nodeID,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2002/07/owl#topObjectProperty,immediately_precedes,imported from,in branch,includes situation,instance identifier property,is a division of,is address of,is administrative relation of,is an actor of,is code for,is defined by,is defined by value of,is denotator type,is dependent variable of,is derived from,is design characteristic of,is divided into,is element of,is eligibility criterion of,is funding relation of,is independent variable of,is IRB process of,is laboratory agreement of,is lower bound closed,is member of,is outcome variable of,is oversight agreement of,is permissible method of,is predictor variable of,is principal investigator of,is recruitment agreement of,is related to,is sponsoring relation of,is structurally related to,is studied in trial,is study assessment/intervention agreement of,is study hypothesis of,is study objective of,is study performance agreement of,is study phenomenon of,is subject of,is upper bound closed,OBO foundry unique label,obsolete,occurs in,operationalize,operationalized_by,part of,precedes,procedure,statistics property,study design data property,study population property,term replaced by
http://purl.org/net/OCRe/OCRe.owl#OCRE434000,Relational constraint,,,false,,,http://purl.org/net/OCRe/OCRe.owl#OCRE596000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OCRE434000,,,,,,,,Relational constraint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/net/OCRe/study_design.owl#OCRE100087,Historical,,A cohort study in which outcomes occurred before the start of the study.,false,,,http://purl.org/net/OCRe/study_design.owl#OCRE100060,,,,,,,,,,,,,A cohort study in which outcomes occurred before the start of the study.,Simona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,study_design:OCRE100087,,,,,,,,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/net/OCRe/OCRe.owl#OCRE400065,Biospecimen,,"Any material sample taken from a biological entity for testing, diagnostic, propagation, treatment or research purposes, including a sample obtained from a living organism or taken from the biological object after halting of all its life functions. Biospecimen can contain one or more components including but not limited to cellular molecules, cells, tissues, organs, body fluids, embryos, and body excretory products.",false,,,http://purl.org/net/OCRe/OCRe.owl#OCRE400021,,,,,,,,,,,,,"Any material sample taken from a biological entity for testing, diagnostic, propagation, treatment or research purposes, including a sample obtained from a living organism or taken from the biological object after halting of all its life functions. Biospecimen can contain one or more components including but not limited to cellular molecules, cells, tissues, organs, body fluids, embryos, and body excretory products.",Simona,NCI Thesaurus entry for Biospecimen. Available at http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C70699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OCRE400065,,,,,,,,Biospecimen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/net/OCRe/study_design.owl#OCRE100036,Caregiver blinded,,The caregiver does not know to which treatment group a particular participant belongs ,false,,,http://purl.org/net/OCRe/study_design.owl#OCRE100045,,,,,,,,,,,,,The caregiver does not know to which treatment group a particular participant belongs ,Simona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,study_design:OCRE100036,,,,,,,,Caregiver blinded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/net/OCRe/OCRe.owl#OCRE733000,Time-interval constraint,,,false,,,http://purl.org/net/OCRe/OCRe.owl#OCRE414000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OCRE733000,,,,,,,,Time-interval constraint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/net/OCRe/OCRe.owl#OCRE400053,Study completed,,A study status applied to a study in which all data has been collected (last patient's last visit has occurred) and the analysis performed. Results may or may not have been published.,false,,,http://purl.org/net/OCRe/OCRe.owl#OCRE400074,,,,,,,,,,,,,A study status applied to a study in which all data has been collected (last patient's last visit has occurred) and the analysis performed. Results may or may not have been published.,Simona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OCRE400053,,,,,,,,Study completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/net/OCRe/OCRe.owl#OCRE900307,I quantitative D ordinal,,A univariate analysis where the independent variable is quantitative and the dependent variable is ordinal,false,,,http://purl.org/net/OCRe/statistics.owl#OCRE200060,,,,,,,,,,,,,A univariate analysis where the independent variable is quantitative and the dependent variable is ordinal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OCRe:OCRE900307,,,,,,,,I quantitative D ordinal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://sig.biostr.washington.edu/fma3.0#OCRE9000027,Material anatomical entity,,"A material anatomical entity is a physical anatomical entity which has mass. Examples: hemoglobin molecule, mitochondrion, hepatocyte, erythrocyte, heart, head, blood, urine.",false,,,http://purl.org/net/OCRe/OCRe.owl#OCRE400002,,,,,,,,,,,,,"A material anatomical entity is a physical anatomical entity which has mass. Examples: hemoglobin molecule, mitochondrion, hepatocyte, erythrocyte, heart, head, blood, urine.",Simona,Foundational Model of Anatomy (FMA) class definition of Material anatomical entity. Available at http://bioportal.bioontology.org/visualize/44507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fma3:OCRE9000027,,,,,,,,Material anatomical entity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/net/OCRe/OCRe.owl#OCRE400070,Clinical event,,"A clinical event is an event during which an assessment of, or intervention on a study subject occurs.",false,,,http://purl.org/net/OCRe/OCRe.owl#OCRE400004,,,,,,,,,,,,,"A clinical event is an event during which an assessment of, or intervention on a study subject occurs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OCRE400070,,,Simona,,,,,Clinical event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/net/OCRe/statistics.owl#OCRE200030,Infinite non-countable,,,false,,,http://purl.org/net/OCRe/statistics.owl#OCRE200084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OCRE200030,,,,,,,,Infinite non-countable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/net/OCRe/study_design.owl#OCRE900036,Organismal study,,"An organismal study is a study in which the entity observed, recruited or selected, or subject to intervention or exposure is an organism, a population of organisms, or a part of an organism. ",false,,,http://purl.org/net/OCRe/OCRe.owl#OCRE400029,,,,,,,,,,,,,"An organismal study is a study in which the entity observed, recruited or selected, or subject to intervention or exposure is an organism, a population of organisms, or a part of an organism. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,study_design:OCRE900036,,,,,,,,Organismal study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/net/OCRe/OCRe.owl#OCRE870591,Parallel or cross-over study,,"Created this class for the purpose of asserting ""if study is parallel group or cross-over, then should have more than 1 arm""",false,,,http://purl.org/net/OCRe/OCRe.owl#OCRE400029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OCRE870591,,,,,,,"Created this class for the purpose of asserting ""if study is parallel group or cross-over, then should have more than 1 arm""",Parallel or cross-over study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/net/OCRe/study_design.owl#OCRE100046,Data analysis within experimental units,,"In the context of a study where the main comparison is within experimental units, whether data is analyzed within a single study experimental unit or within multiple experimental units.",false,,,http://purl.org/net/OCRe/study_design.owl#OCRE100005,,,,,,,,,,,,,"In the context of a study where the main comparison is within experimental units, whether data is analyzed within a single study experimental unit or within multiple experimental units.",Simona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,study_design:OCRE100046,,,,,,,,Data analysis within experimental units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/net/OCRe/OCRe.owl#OCRE541581,Social institution,,"An established society, corporation, foundation or other organization founded and united for a specific purpose, e.g. for health-related research.",false,,,http://purl.org/net/OCRe/OCRe.owl#OCRE400032,,,,,,,,,,,,,"An established society, corporation, foundation or other organization founded and united for a specific purpose, e.g. for health-related research.",,NCI Thesaurus entry for Institution. Available at http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C41206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OCRE541581,,,Simona,,,,,Social institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/net/OCRe/statistics.owl#OCRE200018,I quantitative D dichotomous,,A univariate analysis where the independent variable is quantitative and the dependent variable is dichotomous,false,,,http://purl.org/net/OCRe/statistics.owl#OCRE200079,,,,,,,,,,,,,A univariate analysis where the independent variable is quantitative and the dependent variable is dichotomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OCRE200018,,,,,,,,I quantitative D dichotomous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/net/OCRe/OCRe.owl#OCRE261000,Recruitment will not start,,"A recruitment status applied to a study for which participants will not be recruited, because the study is withdrawn.",false,,,http://purl.org/net/OCRe/OCRe.owl#OCRE400003,,,,,,,,,,,,,"A recruitment status applied to a study for which participants will not be recruited, because the study is withdrawn.",Simona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OCRE261000,,,,,,,,Recruitment will not start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
